title,retention_time_sec,mz,intensity
MS_BA_18,455.983,393.299077,175.0
MS_BA_18,455.983,400.097861,100.0
MS_BA_18,455.983,413.2652,177.0
MS_BA_18,455.983,421.080985,187.0
MS_BA_18,455.983,422.081615,831.0
MS_BA_18,455.983,423.086945,186.0
MS_BA_18,455.983,424.084654,66.0
MS_BA_18,455.983,438.051821,71.0
MS_BA_18,456.484,173.079538,68.0
MS_BA_18,456.484,312.100457,72.0
MS_BA_18,456.484,335.87764,67.0
MS_BA_18,456.484,380.094952,196.0
MS_BA_18,456.484,393.297016,187.0
MS_BA_18,456.484,400.099296,103.0
MS_BA_18,456.484,413.264948,167.0
MS_BA_18,456.484,421.084337,184.0
MS_BA_18,456.484,422.080903,803.0
MS_BA_18,456.484,423.088371,200.0
MS_BA_18,456.484,424.077722,85.0
MS_BA_18,456.984,380.094808,162.0
MS_BA_18,456.984,393.295102,201.0
MS_BA_18,456.984,400.101326,98.0
MS_BA_18,456.984,413.270634,154.0
MS_BA_18,456.984,421.085657,176.0
MS_BA_18,456.984,422.080445,820.0
MS_BA_18,456.984,423.087149,220.0
MS_BA_18,456.984,424.076652,86.0
MS_BA_18,456.984,427.236451,67.0
MS_BA_18,457.485,312.096347,83.0
MS_BA_18,457.485,380.093987,175.0
MS_BA_18,457.485,393.298881,197.0
MS_BA_18,457.485,400.09994,94.0
MS_BA_18,457.485,413.271942,171.0
MS_BA_18,457.485,421.087638,191.0
MS_BA_18,457.485,422.081412,848.0
MS_BA_18,457.485,423.086691,246.0
MS_BA_18,457.485,424.08027,69.0
MS_BA_18,457.986,301.145286,66.0
MS_BA_18,457.986,312.097374,78.0
MS_BA_18,457.986,315.078888,89.0
MS_BA_18,457.986,380.09558,140.0
MS_BA_18,457.986,393.296329,179.0
MS_BA_18,457.986,400.096177,107.0
MS_BA_18,457.986,413.270131,162.0
MS_BA_18,457.986,421.088502,179.0
MS_BA_18,457.986,422.080649,846.0
MS_BA_18,457.986,423.084502,267.0
MS_BA_18,458.487,312.095844,66.0
MS_BA_18,458.487,315.079415,86.0
MS_BA_18,458.487,380.096352,120.0
MS_BA_18,458.487,393.295151,160.0
MS_BA_18,458.487,400.097168,97.0
MS_BA_18,458.487,413.271791,159.0
MS_BA_18,458.487,421.087283,158.0
MS_BA_18,458.487,422.081717,877.0
MS_BA_18,458.487,423.08496,254.0
MS_BA_18,458.988,312.100741,65.0
MS_BA_18,458.988,315.077987,78.0
MS_BA_18,458.988,380.097317,124.0
MS_BA_18,458.988,393.294071,195.0
MS_BA_18,458.988,400.095385,91.0
MS_BA_18,458.988,413.269728,145.0
MS_BA_18,458.988,421.08581,163.0
MS_BA_18,458.988,422.081615,925.0
MS_BA_18,458.988,423.08608,248.0
MS_BA_18,459.489,173.082925,75.0
MS_BA_18,459.489,312.096456,71.0
MS_BA_18,459.489,315.076318,77.0
MS_BA_18,459.489,380.09307,192.0
MS_BA_18,459.489,393.294905,165.0
MS_BA_18,459.489,400.096128,103.0
MS_BA_18,459.489,413.26676,186.0
MS_BA_18,459.489,421.086826,181.0
MS_BA_18,459.489,422.081208,911.0
MS_BA_18,459.489,423.082924,245.0
MS_BA_18,459.989,173.083381,66.0
MS_BA_18,459.989,312.096806,76.0
MS_BA_18,459.989,380.09307,197.0
MS_BA_18,459.989,393.296083,139.0
MS_BA_18,459.989,394.293136,69.0
MS_BA_18,459.989,400.101673,91.0
MS_BA_18,459.989,413.265451,183.0
MS_BA_18,459.989,421.084591,180.0
MS_BA_18,459.989,422.079327,992.0
MS_BA_18,459.989,423.080989,228.0
MS_BA_18,460.49,173.082379,72.0
MS_BA_18,460.49,380.094759,181.0
MS_BA_18,460.49,393.297359,146.0
MS_BA_18,460.49,400.103257,103.0
MS_BA_18,460.49,413.265552,226.0
MS_BA_18,460.49,421.084845,176.0
MS_BA_18,460.49,422.078361,892.0
MS_BA_18,460.49,423.080429,237.0
MS_BA_18,460.991,173.082046,79.0
MS_BA_18,460.991,312.100085,72.0
MS_BA_18,460.991,380.095917,159.0
MS_BA_18,460.991,393.295249,142.0
MS_BA_18,460.991,400.100039,91.0
MS_BA_18,460.991,413.263187,232.0
MS_BA_18,460.991,421.084642,146.0
MS_BA_18,460.991,422.07831,886.0
MS_BA_18,460.991,423.082567,275.0
MS_BA_18,461.492,173.079864,81.0
MS_BA_18,461.492,380.0964,165.0
MS_BA_18,461.492,393.294071,143.0
MS_BA_18,461.492,400.099593,90.0
MS_BA_18,461.492,413.263992,271.0
MS_BA_18,461.492,421.08327,165.0
MS_BA_18,461.492,422.08014,917.0
MS_BA_18,461.492,423.08384,251.0
MS_BA_18,461.994,173.079229,71.0
MS_BA_18,461.994,380.097703,132.0
MS_BA_18,461.994,393.293629,139.0
MS_BA_18,461.994,400.101722,76.0
MS_BA_18,461.994,413.266005,241.0
MS_BA_18,461.994,421.080629,161.0
MS_BA_18,461.994,422.081564,905.0
MS_BA_18,461.994,423.085214,260.0
MS_BA_18,462.495,380.093312,160.0
MS_BA_18,462.495,393.29304,158.0
MS_BA_18,462.495,400.094049,86.0
MS_BA_18,462.495,413.265301,232.0
MS_BA_18,462.495,421.084896,149.0
MS_BA_18,462.495,422.082479,851.0
MS_BA_18,462.495,423.083025,240.0
MS_BA_18,462.996,173.078936,73.0
MS_BA_18,462.996,380.092395,184.0
MS_BA_18,462.996,393.296132,147.0
MS_BA_18,462.996,400.09489,64.0
MS_BA_18,462.996,413.26686,207.0
MS_BA_18,462.996,421.085048,165.0
MS_BA_18,462.996,422.081513,824.0
MS_BA_18,462.996,423.081854,220.0
MS_BA_18,462.996,477.393092,76.0
MS_BA_18,462.996,821.174568,71.0
MS_BA_18,463.497,173.077088,71.0
MS_BA_18,463.497,380.090223,147.0
MS_BA_18,463.497,393.297752,115.0
MS_BA_18,463.497,400.096673,68.0
MS_BA_18,463.497,413.267766,193.0
MS_BA_18,463.497,421.087283,139.0
MS_BA_18,463.497,422.081412,807.0
MS_BA_18,463.497,423.083891,253.0
MS_BA_18,463.497,821.17776,88.0
MS_BA_18,463.998,173.076706,67.0
MS_BA_18,463.998,380.091092,190.0
MS_BA_18,463.998,393.298194,107.0
MS_BA_18,463.998,400.094643,75.0
MS_BA_18,463.998,413.264747,204.0
MS_BA_18,463.998,421.086064,137.0
MS_BA_18,463.998,422.079988,785.0
